id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
416884,2021,Cameroon,,,Ambazonia insurgents - Civilians,Ambazonia insurgents,Civilians,Ambazonia insurgents - Civilians,0,0,1,0,1,5.817135,10.159325,the Bamenda-Babadjou stretch,"Daily Dose of News Roundup September 22nd, 2021",2021-09-21,9,Sep,2021-09,One-sided (civilians),Low (1–5)
416582,2021,Niger,Tillabéri region,Say department,Government of Niger - JNIM,Government of Niger,JNIM,Niger: Government,1,0,0,0,1,12.7555,2.17687,near Tamou village (Say department),Niger SEPTEMBER 2021,2021-09-22,9,Sep,2021-09,State-based conflict,Low (1–5)
416638,2021,Cameroon,South-West region,Meme département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,3,0,0,0,3,4.606416,9.358984,"in Small Ekombe around a place called Long Street, Mbonge Sub Division, South West region",At least 3 Ambazonia forces and 3 Government forces have died in Small Ekombe,2021-09-22,9,Sep,2021-09,State-based conflict,Low (1–5)
416810,2021,Nigeria,Borno state,Abadam lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,2,0,0,2,13.6734,13.3388,in Mallam Fatori,"Nigerian Troops Repel ISWAP Attacks at Borno Military Base, Yobe Community;According to PRNigeria, on Thursday NA repelled the ISWAP attack in Mallam Fatori",2021-09-23,9,Sep,2021-09,State-based conflict,Low (1–5)
416636,2021,Cameroon,South-West region,Meme département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,0,0,0,0,0,4.606416,9.358984,"in Small Ekombe around a place called Long Street, Mbonge Sub Division, South West region",At least 3 Ambazonia forces and 3 Government forces have died in Small Ekombe,2021-09-23,9,Sep,2021-09,State-based conflict,No deaths recorded
416700,2021,Cameroon,North-West region,Bui département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,1,0,0,0,1,6.2,10.66667,"the main prison of Kumbo between Tobin and Meluf

///

at Meluf Prison",URGENT : « Bui Worriors » attaque la prison principale de Kumbo;KUMBO – special report,2021-09-23,9,Sep,2021-09,State-based conflict,Low (1–5)
416379,2021,Nigeria,Sokoto state,Goronyo lga,IS - Civilians,IS,Civilians,IS - Civilians,0,0,0,0,0,13.530203,5.878673,Katsira village,"Bandits Attack Joint Base, Kill Military Personnel in Sokoto",2021-09-24,9,Sep,2021-09,One-sided (civilians),No deaths recorded
416504,2021,Nigeria,Benue state,Guma lga,Fulani - Tiv,Fulani,Tiv,Fulani - Tiv,0,9,0,0,9,7.96667,8.76667,"communities in Guma LGA

1) in the outskirts of Gbajimba town, the Guma LGA
2) Gbajimba
3) Ulever community","Armed Herdsmen Kill 9 Traders, Church Attendees, LG Boss' Brother in Fresh Benue Attack",2021-09-24,9,Sep,2021-09,Non-state conflict,Medium (6–20)
416329,2021,Nigeria,Borno state,Marte lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,30,0,0,0,30,12.2085,13.87973,"between the town of Dikwa and Marte in the Lake Chad region

///

around Ala village situated between Marte-Dikwa town","ISWAP allegedly kills 12 soldiers, vigilantes in Borno ambush;Troops Record Heavy Loss In ISWAP Ambush;Eight Nigerian troops killed in jihadist attack: military sources;IS claims deadly attack on army in Nigeria;Twenty soldiers killed in Nigeria militant ambush;Death toll of Nigerian soldiers killed in ambush rises to 30",2021-09-24,9,Sep,2021-09,State-based conflict,High (21–50)
416334,2021,Nigeria,Sokoto state,Sabon Birni lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,22,3,0,0,25,13.484695,6.264093,"in Dama village in the state

///

at Burkusuma camp, in Sabon Birni, Sokoto state; the Forward Operation Base (FOB) at Burkusuma

///

The base, codenamed Burkusuma camp, is located in Dama village of Sabon Birni Local Government Area near the border with Niger","Declare ‘Bandits’ Terrorists, Bomb Their Enclaves – Nigerian Lawmakers Tell President;Bandits Killed 17 Security Agents in Sokoto Attack - Lawmaker;Nigeria suspects jihadists attacked northwest base;Nigerian soldiers repel Islamist attack, suffer casualties - military;Nigeria and Niger army pursue suspected IS attackers;Bandits Attack Joint Base, Kill Military Personnel in Sokoto;Troops Repel Attack, Eliminate Several Bandits in Sokoto;UPDATE 1-Gunmen kill 22 Nigerian security personnel, says state lawmaker;Gunmen kill 22 Nigerian security personnel, says state lawmaker",2021-09-24,9,Sep,2021-09,State-based conflict,High (21–50)
